,allStar,ast,ast_pct,blk,blk_pct,bpm,class,conf_abbr,dbpm,def_rtg,drb,drb_pct,dws,efg_pct,fg,fg2,fg2a,fg3,fg3a,fga,ft,fta,g,mp,obpm,off_rtg,orb,orb_pct,ows,per,pf,pick_overall,player,pos,pprod,pts,round,school_name,season,stl,stl_pct,tov,tov_pct,trb,trb_pct,ts_pct,usg_pct,ws,year_drafted,pts_pg,fg_p,fg2_p,fg3_p,ft_p,trb_p,ast_p,stl_p,blk_p
246,1.0,189.0,30.4,15.0,0.9,7.4,FR,CUSA,2.9,97.9,127.0,14.8,3.8,0.517,208.0,173.0,332.0,35.0,104.0,436.0,146.0,205.0,40.0,1168.0,4.1,114.1,54.0,6.0,2.8,21.2,68.0,1,Derrick Rose,G,425.0,597.0,1,Memphis,2007-08,48.0,1.9,107.0,16.7,181.0,8.3,0.56,26.0,6.6,2008,14.925,0.47706422018348627,0.5210843373493976,0.3365384615352256,0.7121951219477455,4.525,4.725,1.2,0.375
255,1.0,29.0,6.4,55.0,3.5,7.4,SO,WAC,2.9,97.9,204.0,14.8,3.4,0.575,225.0,225.0,390.0,0.0,1.0,391.0,143.0,238.0,29.0,1061.0,4.1,114.1,156.0,6.0,3.5,21.2,89.0,47,Paul Millsap,F,425.0,593.0,2,Louisiana Tech,2004-05,33.0,1.9,74.0,12.8,360.0,18.4,0.588,26.2,6.9,2006,20.448275862068964,0.5754475703324808,0.5769230769230769,0.0,0.6008403361319292,12.413793103448276,1.0,1.1379310344827587,1.896551724137931
302,1.0,38.0,9.2,67.0,7.5,7.4,FR,SEC,2.9,83.9,220.0,24.8,2.7,0.56,206.0,205.0,363.0,1.0,6.0,369.0,162.0,268.0,38.0,893.0,4.1,118.5,154.0,19.8,3.8,34.2,122.0,5,DeMarcus Cousins,F,555.0,575.0,1,Kentucky,2009-10,37.0,2.4,78.0,13.6,374.0,22.5,0.579,30.5,6.5,2010,15.131578947368421,0.5582655826558266,0.5647382920110193,0.16666666663888888,0.6044776119380431,9.842105263157896,1.0,0.9736842105263158,1.763157894736842
317,1.0,62.0,12.1,30.0,2.8,7.4,SO,Horizon,2.9,90.1,233.0,23.4,3.0,0.527,173.0,126.0,213.0,47.0,160.0,373.0,179.0,216.0,37.0,1239.0,4.1,117.1,72.0,7.6,4.0,24.3,78.0,9,Gordon Hayward,F,549.0,572.0,1,Butler,2009-10,40.0,2.0,85.0,15.2,305.0,15.8,0.601,24.7,6.9,2010,15.45945945945946,0.46380697050938335,0.5915492957746479,0.2937499999981641,0.8287037036998671,8.243243243243244,1.6756756756756757,1.0810810810810811,0.8108108108108109
335,1.0,50.0,7.5,186.0,13.7,18.7,FR,SEC,10.8,80.7,296.0,25.6,4.1,0.628,210.0,207.0,317.0,3.0,20.0,337.0,144.0,203.0,40.0,1281.0,7.8,139.0,119.0,11.6,5.9,35.1,78.0,1,Anthony Davis,F,550.0,567.0,1,Kentucky,2011-12,54.0,2.5,41.0,8.6,415.0,19.0,0.654,18.8,9.9,2012,14.175,0.6231454005934718,0.6529968454258676,0.1499999999925,0.7093596059078358,10.375,1.25,1.35,4.65
354,1.0,91.0,16.0,21.0,1.9,9.1,SO,MWC,5.2,86.3,269.0,26.2,3.2,0.471,211.0,186.0,389.0,25.0,86.0,475.0,110.0,145.0,36.0,1172.0,3.9,112.5,111.0,11.4,3.6,26.5,89.0,15,Kawhi Leonard,F,567.0,557.0,1,San Diego State,2010-11,51.0,2.7,76.0,12.3,380.0,19.0,0.512,27.6,6.8,2011,15.472222222222221,0.4442105263157895,0.4781491002570694,0.2906976744152244,0.7586206896499406,10.555555555555555,2.5277777777777777,1.4166666666666667,0.5833333333333334
358,1.0,20.0,3.3,73.0,4.1,7.4,SO,Big 12,2.9,97.9,204.0,14.8,5.3,0.569,219.0,219.0,385.0,0.0,0.0,385.0,117.0,181.0,37.0,1247.0,4.1,114.1,135.0,6.0,3.4,21.2,92.0,2,LaMarcus Aldridge,F,425.0,555.0,1,Texas,2005-06,50.0,1.9,59.0,11.1,339.0,15.5,0.589,21.1,8.7,2006,15.0,0.5688311688311688,0.5688311688311688,0.0,0.6464088397754343,9.162162162162161,0.5405405405405406,1.3513513513513513,1.972972972972973
365,1.0,80.0,17.5,95.0,6.8,7.4,SO,SEC,2.9,97.9,193.0,14.8,3.8,0.627,202.0,202.0,321.0,0.0,1.0,322.0,148.0,202.0,39.0,972.0,4.1,114.1,85.0,6.0,4.6,21.2,84.0,9,Joakim Noah,C,425.0,552.0,1,Florida,2005-06,44.0,1.9,76.0,15.4,278.0,16.8,0.66,25.7,8.4,2007,14.153846153846153,0.6273291925465838,0.6292834890965732,0.0,0.7326732673231057,7.128205128205129,2.051282051282051,1.1282051282051282,2.4358974358974357
377,1.0,83.0,12.7,31.0,2.6,8.6,FR,SEC,3.3,96.9,199.0,20.3,2.1,0.525,175.0,112.0,207.0,63.0,186.0,393.0,133.0,173.0,37.0,1267.0,5.3,115.4,50.0,4.8,3.6,22.0,76.0,3,Bradley Beal,G,522.0,546.0,1,Florida,2011-12,51.0,2.5,79.0,14.3,249.0,12.3,0.575,23.0,5.7,2012,14.756756756756756,0.44529262086513993,0.5410628019323671,0.3387096774175338,0.7687861271631863,6.72972972972973,2.2432432432432434,1.3783783783783783,0.8378378378378378
505,1.0,82.0,12.7,70.0,1.8,7.4,JR,SEC,2.9,97.9,264.0,14.8,4.0,0.608,186.0,186.0,304.0,0.0,2.0,306.0,130.0,202.0,38.0,1057.0,4.1,114.1,96.0,6.0,3.5,21.2,94.0,3,Al Horford,F,425.0,502.0,1,Florida,2006-07,28.0,1.9,68.0,14.5,360.0,11.0,0.624,22.9,7.5,2007,13.210526315789474,0.6078431372549019,0.6118421052631579,0.0,0.6435643564324577,9.473684210526315,2.1578947368421053,0.7368421052631579,1.8421052631578947
