,year_drafted,round,pick_overall,player,school_name,g,mp,fg,fga,fg2,fg2a,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,obpm,dbpm,bpm,ts_pct,efg_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,ows,dws,ws,pprod,allStar,pts_pg,fg_p,fg2_p,fg3_p,ft_p,trb_p,ast_p,stl_p,blk_p
20,2003,2,41,Willie Green,Detroit Mercy,30.0,1021.0,244.0,498.0,207.0,399.0,37.0,99.0,153.0,190.0,32.0,116.0,148.0,75.0,40.0,13.0,68.0,71.0,678.0,21.2,4.1,2.9,7.4,0.5760000000000001,0.527,6.0,14.8,9.0,17.2,1.9,1.0,10.4,33.7,114.1,97.9,3.8,2.0,5.8,425.0,0.0,22.6,0.4899598393574297,0.518796992481203,0.3737373737335986,0.8052631578904986,4.933333333333334,2.5,1.3333333333333333,0.43333333333333335
21,2003,2,43,Keith Bogans,Kentucky,36.0,1068.0,194.0,425.0,114.0,216.0,80.0,209.0,96.0,130.0,41.0,97.0,138.0,98.0,42.0,4.0,78.0,60.0,564.0,21.2,4.1,2.9,7.4,0.579,0.551,6.0,14.8,11.0,12.7,1.9,1.8,13.8,22.9,114.1,97.9,3.2,1.9,5.0,425.0,0.0,15.666666666666666,0.45647058823529413,0.5277777777777778,0.38277511961539346,0.738461538455858,3.8333333333333335,2.7222222222222223,1.1666666666666667,0.1111111111111111
22,2003,2,45,Matt Bonner,Florida,33.0,1037.0,182.0,357.0,119.0,224.0,63.0,133.0,74.0,101.0,70.0,131.0,201.0,49.0,35.0,20.0,54.0,70.0,501.0,21.2,4.1,2.9,7.4,0.619,0.598,6.0,14.8,11.4,9.7,1.9,1.4,11.8,22.9,114.1,97.9,3.5,2.0,5.5,425.0,0.0,15.181818181818182,0.5098039215686274,0.53125,0.4736842105227543,0.7326732673194785,6.090909090909091,1.4848484848484849,1.0606060606060606,0.6060606060606061
23,2003,2,47,Mo Williams,Alabama,29.0,1038.0,160.0,371.0,103.0,191.0,57.0,180.0,98.0,117.0,29.0,84.0,113.0,112.0,36.0,5.0,86.0,61.0,475.0,21.2,4.1,2.9,7.4,0.557,0.508,6.0,14.8,6.2,24.4,1.9,0.4,16.8,24.8,114.1,97.9,2.4,1.8,4.1,425.0,0.0,16.379310344827587,0.431266846361186,0.5392670157068062,0.31666666666490745,0.8376068375996786,3.896551724137931,3.8620689655172415,1.2413793103448276,0.1724137931034483
24,2003,2,49,James Jones,Miami (FL),28.0,957.0,157.0,351.0,117.0,251.0,40.0,100.0,118.0,142.0,52.0,117.0,169.0,49.0,44.0,50.0,69.0,76.0,472.0,21.2,4.1,2.9,7.4,0.564,0.504,6.0,14.8,10.2,11.7,1.9,3.9,14.2,24.9,114.1,97.9,2.4,2.3,4.6,425.0,0.0,16.857142857142858,0.4472934472934473,0.46613545816733065,0.399999999996,0.8309859154871058,6.035714285714286,1.75,1.5714285714285714,1.7857142857142858
25,2003,2,51,Kyle Korver,Creighton,34.0,1082.0,183.0,391.0,54.0,122.0,129.0,269.0,109.0,120.0,46.0,171.0,217.0,104.0,50.0,23.0,68.0,89.0,604.0,21.2,4.1,2.9,7.4,0.674,0.633,6.0,14.8,12.1,17.7,1.9,1.5,13.2,23.8,114.1,97.9,5.2,2.6,7.8,425.0,0.0,17.764705882352942,0.4680306905370844,0.4426229508196721,0.4795539033439422,0.9083333333257638,6.382352941176471,3.0588235294117645,1.4705882352941178,0.6764705882352942
26,2003,2,53,Tommy Smith,Arizona State,32.0,930.0,141.0,286.0,136.0,268.0,5.0,18.0,70.0,122.0,72.0,127.0,199.0,85.0,30.0,69.0,97.0,105.0,357.0,21.2,4.1,2.9,7.4,0.519,0.502,6.0,14.8,11.0,12.7,1.9,1.8,22.0,22.9,114.1,97.9,1.0,2.9,3.9,425.0,0.0,11.15625,0.493006993006993,0.5074626865671642,0.2777777777623457,0.5737704917985756,6.21875,2.65625,0.9375,2.15625
27,2003,2,55,Rick Rickert,Minnesota,32.0,985.0,184.0,416.0,143.0,300.0,41.0,116.0,90.0,132.0,58.0,140.0,198.0,37.0,24.0,27.0,67.0,86.0,499.0,21.2,4.1,2.9,7.4,0.521,0.4920000000000001,6.0,14.8,10.9,8.4,1.9,1.9,12.3,26.7,114.1,97.9,1.4,1.4,2.8,425.0,0.0,15.59375,0.4423076923076923,0.4766666666666667,0.353448275859022,0.6818181818130166,6.1875,1.15625,0.75,0.84375
28,2004,1,5,Devin Harris,Wisconsin,32.0,1131.0,160.5,348.5,96.5,179.5,64.0,169.0,130.5,167.5,22.0,121.0,143.0,119.5,60.5,11.0,58.5,65.5,515.5,21.2,4.1,2.9,7.4,0.601,0.553,6.0,14.8,9.35,20.75,1.9,1.05,12.2,25.25,114.1,97.9,3.8,3.15,6.949999999999999,425.0,0.0,16.109375,0.460947879407256,0.5370340719866786,0.37999782111107094,0.7739845938325247,4.46875,3.734375,1.890625,0.34375
29,2004,1,6,Josh Childress,Stanford,28.0,906.5,146.0,323.5,105.0,208.5,41.0,115.0,80.0,104.5,58.5,161.0,219.5,65.5,29.5,41.5,58.0,63.5,413.0,21.2,4.1,2.9,7.4,0.5615,0.522,6.0,14.8,14.1,15.55,1.9,3.4,13.649999999999999,23.950000000000003,114.1,97.9,1.95,3.0,4.949999999999999,425.0,0.0,14.8866930171278,0.4578349462042436,0.5088209982788297,0.3643410852678619,0.7701754385890152,7.791172595520422,2.3866930171278,1.0256916996047432,1.5013175230566536
