,player,class,season,pos,school_name,conf_abbr,g,mp,fg,fga,fg2,fg2a,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,obpm,dbpm,bpm,ts_pct,efg_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,ows,dws,ws,pprod,year_drafted,round,pick_overall,allStar,pts_pg,fg_p,fg2_p,fg3_p,ft_p,trb_p,ast_p,stl_p,blk_p
5,Adam Morrison,JR,2005-06,F,Gonzaga,WCC,33.0,1205.0,306,617,232,444,74,173,240,311,47.0,135.0,182,56,35,11,76.0,66.0,926,21.2,4.1,2.9,7.4,0.605,0.556,6.0,14.8,11.0,12.7,1.9,1.8,9.0,22.9,114.1,97.9,5.5,1.2,6.8,425.0,2006,1,3,0,28.060606060606062,0.4959481361426256,0.5225225225225225,0.4277456647374119,0.7717041800618274,5.515151515151516,1.696969696969697,1.0606060606060606,0.3333333333333333
955,Jeffery Taylor,FR,2008-09,F,Vanderbilt,SEC,31.0,805.0,136,271,127,230,9,41,96,139,82.0,110.0,192,53,29,12,69.0,76.0,377,21.2,4.1,2.9,7.4,0.5589999999999999,0.518,6.0,14.8,13.8,15.4,1.9,1.2,17.0,25.5,114.1,97.9,1.9,1.4,3.3,425.0,2012,2,31,0,12.161290322580646,0.5018450184501845,0.5521739130434783,0.21951219511659728,0.6906474820094198,6.193548387096774,1.7096774193548387,0.9354838709677419,0.3870967741935484
1270,Shannon Brown,FR,2003-04,G,Michigan State,Big Ten,30.0,687.0,88,195,73,151,15,44,46,57,24.0,51.0,75,38,33,1,52.0,54.0,237,21.2,4.1,2.9,7.4,0.534,0.49,6.0,14.8,7.5,11.4,1.9,0.1,19.0,21.8,114.1,97.9,0.9,0.3,1.2,425.0,2006,1,25,0,7.9,0.4512820512820513,0.48344370860927155,0.340909090901343,0.807017543845491,2.5,1.2666666666666666,1.1,0.03333333333333333
1021,Marcus Denmon,SO,2009-10,G,Missouri,Big 12,34.0,715.0,117,273,49,106,68,167,53,76,30.0,70.0,100,48,29,4,31.0,48.0,355,21.0,4.1,2.9,7.4,0.574,0.5529999999999999,4.5,10.9,7.7,13.1,2.3,0.6,9.1,22.7,120.4,96.8,2.3,1.2,3.5,318.0,2012,2,59,0,10.441176470588236,0.42857142857142855,0.46226415094339623,0.40718562874007674,0.6973684210434556,2.9411764705882355,1.411764705882353,0.8529411764705882,0.11764705882352941
1210,James Gist,SO,2005-06,F,Maryland,ACC,32.0,708.0,101,206,101,205,0,1,66,98,62.0,93.0,155,37,27,51,45.0,77.0,268,21.2,4.1,2.9,7.4,0.531,0.49,6.0,14.8,11.6,9.7,1.9,4.8,15.1,18.8,114.1,97.9,0.9,1.8,2.7,425.0,2008,2,57,0,8.375,0.49029126213592233,0.4926829268292683,0.0,0.6734693877482298,4.84375,1.15625,0.84375,1.59375
1070,Kyle Anderson,FR,2012-13,G,UCLA,Pac-12,35.0,1046.0,122,293,114,255,8,38,86,117,74.0,228.0,302,122,62,31,73.0,72.0,338,20.2,2.7,6.4,9.0,0.485,0.43,8.0,25.0,16.4,20.8,3.4,2.8,17.3,20.0,102.5,91.7,1.5,2.2,3.7,388.0,2014,1,30,0,9.657142857142857,0.41638225255972694,0.4470588235294118,0.21052631578393355,0.7350427350364526,8.628571428571428,3.4857142857142858,1.7714285714285714,0.8857142857142857
1037,Markel Brown,SO,2011-12,G,Oklahoma State,Big 12,33.0,1026.0,116,272,93,200,23,72,93,127,31.0,137.0,168,80,41,19,76.0,79.0,348,15.9,1.2,2.4,3.6,0.524,0.469,3.7,16.2,9.9,17.5,2.4,1.9,18.6,21.5,98.8,101.6,1.1,1.3,2.3,358.0,2014,2,44,0,10.545454545454545,0.4264705882352941,0.465,0.3194444444400077,0.7322834645611631,5.090909090909091,2.4242424242424243,1.2424242424242424,0.5757575757575758
292,Justin Wright-Foreman,SO,2016-17,G,Hofstra,CAA,32.0,905.0,208,422,141,242,67,180,97,127,21.0,93.0,114,52,24,2,45.0,59.0,580,25.3,6.0,-3.5,2.5,0.601,0.5720000000000001,2.5,11.8,7.0,13.5,1.5,0.2,8.5,29.0,121.5,112.7,3.4,0.4,3.8,500.0,2019,2,53,0,18.125,0.4928909952606635,0.5826446280991735,0.37222222222015433,0.7637795275530411,3.5625,1.625,0.75,0.0625
1196,Derrick Zimmerman,SR,2002-03,G,Mississippi State,SEC,31.0,1024.0,99,208,84,156,15,52,63,97,25.0,105.0,130,171,58,26,105.0,64.0,276,21.2,4.1,2.9,7.4,0.5429999999999999,0.512,6.0,14.8,11.0,12.7,1.9,1.8,29.2,22.9,114.1,97.9,1.4,3.1,4.5,425.0,2003,2,40,0,8.903225806451612,0.47596153846153844,0.5384615384615384,0.28846153845599115,0.6494845360757785,4.193548387096774,5.516129032258065,1.8709677419354838,0.8387096774193549
1234,Jordan Bone,SO,2017-18,G,Tennessee,SEC,35.0,810.0,92,235,65,164,27,71,46,56,8.0,64.0,72,124,26,2,44.0,40.0,257,14.0,1.8,1.5,3.3,0.491,0.449,1.1,9.0,5.1,29.9,1.9,0.3,14.4,19.2,108.4,102.0,1.2,1.2,2.4,284.0,2019,2,57,0,7.3428571428571425,0.39148936170212767,0.39634146341463417,0.38028169013548896,0.8214285714139031,2.057142857142857,3.5428571428571427,0.7428571428571429,0.05714285714285714
899,Quincy Miller,FR,2011-12,F,Baylor,Big 12,37.0,903.0,138,309,114,240,24,69,93,114,54.0,128.0,182,53,25,24,66.0,69.0,393,19.4,2.5,2.4,4.8,0.541,0.485,7.5,17.5,12.5,11.6,1.7,2.9,15.4,23.9,110.1,98.8,2.1,1.3,3.5,377.0,2012,2,38,0,10.621621621621621,0.44660194174757284,0.475,0.34782608695148076,0.8157894736770545,4.918918918918919,1.4324324324324325,0.6756756756756757,0.6486486486486487
914,Keita Bates-Diop,SO,2015-16,F,Ohio State,Big Ten,33.0,1040.0,141,311,105,200,36,111,70,89,47.0,163.0,210,36,24,41,45.0,61.0,388,18.1,2.3,3.6,6.0,0.5489999999999999,0.511,5.1,16.5,11.0,7.2,1.4,4.3,11.3,19.5,111.5,98.8,1.9,1.8,3.7,363.0,2018,2,48,0,11.757575757575758,0.4533762057877814,0.525,0.32432432432140246,0.7865168539237469,6.363636363636363,1.0909090909090908,0.7272727272727273,1.2424242424242424
57,Nick Fazekas,JR,2005-06,F,Nevada,WAC,33.0,1051.0,268,507,237,400,31,107,154,182,100.0,242.0,342,68,36,49,59.0,59.0,721,21.2,4.1,2.9,7.4,0.607,0.5589999999999999,6.0,14.8,18.1,16.3,1.9,3.2,9.0,31.1,114.1,97.9,4.9,4.2,9.1,425.0,2007,2,34,0,21.848484848484848,0.5285996055226825,0.5925,0.2897196261655166,0.846153846149197,10.363636363636363,2.0606060606060606,1.0909090909090908,1.4848484848484849
1064,Edmond Sumner,FR,2015-16,G,Xavier,Big East,31.0,802.0,102,257,77,174,25,83,112,154,17.0,89.0,106,112,39,6,65.0,72.0,341,16.6,3.1,3.3,6.4,0.516,0.446,2.3,11.7,7.1,25.2,2.7,0.9,16.4,23.2,107.6,98.4,1.4,1.4,2.9,357.0,2017,2,52,0,11.0,0.3968871595330739,0.4425287356321839,0.3012048192734795,0.7272727272680047,3.4193548387096775,3.6129032258064515,1.2580645161290323,0.1935483870967742
867,Nick Johnson,SO,2012-13,G,Arizona,Pac-12,35.0,1099.0,137,306,95,199,42,107,87,122,14.0,113.0,127,112,68,20,66.0,65.0,403,19.3,4.3,4.6,8.9,0.5539999999999999,0.516,1.6,13.1,7.3,20.3,3.7,1.9,15.4,20.1,112.9,94.3,2.6,2.0,4.6,403.0,2014,2,42,0,11.514285714285714,0.4477124183006536,0.47738693467336685,0.39252336448231284,0.7131147540925155,3.6285714285714286,3.2,1.9428571428571428,0.5714285714285714
584,Eric Maynor,SO,2006-07,G,Virginia Commonwealth,CAA,35.0,1214.0,161,380,138,321,23,59,140,180,22.0,126.0,148,224,48,7,73.0,75.0,485,21.2,4.1,2.9,7.4,0.521,0.454,6.0,14.8,11.0,12.7,1.9,1.8,13.6,22.9,114.1,97.9,1.5,2.5,4.0,425.0,2009,1,20,0,13.857142857142858,0.4236842105263158,0.42990654205607476,0.389830508467969,0.7777777777734568,4.228571428571429,6.4,1.3714285714285714,0.2
116,Nolan Smith,JR,2009-10,G,Duke,ACC,38.0,1349.0,239,542,179,389,60,153,122,159,35.0,71.0,106,114,47,9,70.0,67.0,660,20.4,4.1,2.9,7.4,0.534,0.496,2.9,5.8,4.4,17.7,2.1,0.6,10.2,25.2,117.9,97.3,4.4,2.3,6.7,616.0,2011,1,21,0,17.36842105263158,0.44095940959409596,0.4601542416452442,0.392156862742535,0.767295597479451,2.789473684210526,3.0,1.236842105263158,0.23684210526315788
1205,Shelden Williams,FR,2002-03,F,Duke,ACC,33.0,633.0,95,184,95,183,0,1,80,124,84.0,111.0,195,15,23,52,60.0,102.0,270,21.2,4.1,2.9,7.4,0.556,0.516,6.0,14.8,17.3,4.5,1.9,5.8,19.8,22.2,114.1,97.9,1.1,2.6,3.7,425.0,2006,1,5,0,8.181818181818182,0.5163043478260869,0.5191256830601093,0.0,0.6451612903173777,5.909090909090909,0.45454545454545453,0.696969696969697,1.5757575757575757
243,Julius Randle,FR,2013-14,F,Kentucky,SEC,40.0,1233.0,196,391,193,373,3,18,204,289,139.0,277.0,416,57,20,31,101.0,91.0,599,24.5,4.2,3.0,7.1,0.5670000000000001,0.505,13.3,24.7,19.2,10.0,1.0,2.6,16.1,25.4,115.9,97.8,3.5,2.4,5.9,599.0,2014,1,7,0,14.975,0.5012787723785166,0.517426273458445,0.1666666666574074,0.705882352938734,10.4,1.425,0.5,0.775
1534,Herbert Hill,FR,2003-04,F,Providence,Big East,11.0,28.0,3,6,3,6,0,0,5,8,3.0,5.0,8,1,1,1,1.0,1.0,11,21.2,4.1,2.9,7.4,0.561,0.5,6.0,14.8,17.2,7.0,1.9,2.6,9.3,19.6,114.1,97.9,0.1,0.1,0.1,425.0,2007,2,55,0,1.0,0.5,0.5,0.0,0.624999999921875,0.7272727272727273,0.09090909090909091,0.09090909090909091,0.09090909090909091
945,Toney Douglas,SO,2006-07,G,Florida State,ACC,30.0,865.0,143,301,112,223,31,78,63,80,23.0,59.0,82,87,35,8,73.0,53.0,380,21.2,4.1,2.9,7.4,0.56,0.527,6.0,14.8,6.0,20.1,1.9,0.7,17.7,24.1,114.1,97.9,1.8,0.9,2.6,425.0,2009,1,29,0,12.666666666666666,0.4750830564784053,0.5022421524663677,0.3974358974308021,0.7874999999901562,2.7333333333333334,2.9,1.1666666666666667,0.26666666666666666
689,Semaj Christon,FR,2012-13,G,Xavier,A-10,30.0,1027.0,162,365,155,337,7,28,125,186,5.0,81.0,86,139,45,3,109.0,80.0,456,17.7,1.0,1.2,2.2,0.503,0.453,0.6,10.1,5.4,32.2,2.8,0.4,19.4,29.8,98.5,100.4,1.5,1.3,2.8,470.0,2014,2,55,0,15.2,0.4438356164383562,0.4599406528189911,0.24999999999107142,0.672043010749075,2.8666666666666667,4.633333333333334,1.5,0.1
429,Brandon Rush,SO,2006-07,G,Kansas,Big 12,38.0,1234.0,186,420,111,246,75,174,79,116,58.0,154.0,212,76,15,34,78.0,60.0,526,21.2,4.1,2.9,7.4,0.5539999999999999,0.532,6.0,14.8,9.6,10.8,1.9,2.0,14.1,21.7,114.1,97.9,2.3,2.8,5.0,425.0,2008,1,13,0,13.842105263157896,0.44285714285714284,0.45121951219512196,0.43103448275614353,0.6810344827527497,5.578947368421052,2.0,0.39473684210526316,0.8947368421052632
977,Jon Leuer,JR,2009-10,F,Wisconsin,Big Ten,24.0,691.0,142,272,124,226,18,46,67,93,35.0,104.0,139,39,13,32,24.0,50.0,369,30.0,4.1,2.9,7.4,0.584,0.555,6.4,20.0,13.0,14.9,1.3,5.2,7.1,28.4,122.1,93.1,2.9,1.5,4.4,332.0,2011,2,40,0,15.375,0.5220588235294118,0.5486725663716814,0.3913043478175804,0.7204301075191352,5.791666666666667,1.625,0.5416666666666666,1.3333333333333333
350,Jarnell Stokes,JR,2013-14,F,Tennessee,SEC,37.0,1199.0,199,375,199,375,0,0,160,230,155.0,237.0,392,75,26,34,77.0,73.0,558,27.6,5.8,4.3,10.0,0.5760000000000001,0.531,15.3,23.1,19.2,13.7,1.4,2.9,13.7,24.6,121.9,95.4,4.2,2.6,6.8,575.0,2014,2,35,0,15.08108108108108,0.5306666666666666,0.5306666666666666,0.0,0.695652173910019,10.594594594594595,2.027027027027027,0.7027027027027027,0.918918918918919
290,Jeffery Taylor,SR,2011-12,F,Vanderbilt,SEC,36.0,1157.0,210,426,144,270,66,156,95,157,77.0,123.0,200,62,46,16,79.0,67.0,581,23.7,6.4,2.2,8.6,0.58,0.57,8.4,13.3,10.9,12.6,2.4,1.4,13.6,26.4,114.4,99.8,3.6,1.6,5.2,546.0,2012,2,31,0,16.13888888888889,0.49295774647887325,0.5333333333333333,0.4230769230742111,0.6050955413974198,5.555555555555555,1.7222222222222223,1.2777777777777777,0.4444444444444444
