,year_drafted,round,pick_overall,player,school_name,g,mp,fg,fga,fg2,fg2a,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,obpm,dbpm,bpm,ts_pct,efg_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,ows,dws,ws,pprod,allStar,pts_pg,fg_p,fg2_p,fg3_p,ft_p,trb_p,ast_p,stl_p,blk_p
30,2011,2,47,Travis Leslie,Georgia,33.0,1062.0,177.0,360.0,164.0,317.0,13.0,43.0,109.0,136.0,106.0,131.0,237.0,97.0,40.0,20.0,71.0,63.0,476.0,24.9,6.2,3.3,9.4,0.561,0.51,12.2,13.6,12.9,20.6,2.3,2.0,14.3,24.4,116.9,98.1,3.4,1.7,5.2,486.0,0.0,14.424242424242424,0.49166666666666664,0.5173501577287066,0.30232558138831805,0.801470588229401,7.181818181818182,2.9393939393939394,1.2121212121212122,0.6060606060606061
31,2011,2,48,Keith Benson,Oakland,35.0,1133.0,231.0,422.0,222.0,399.0,9.0,23.0,157.0,244.0,93.0,261.0,354.0,38.0,28.0,125.0,66.0,108.0,628.0,28.8,1.6,3.6,5.2,0.584,0.5579999999999999,9.5,24.1,17.2,6.2,1.4,9.8,10.9,24.9,120.2,98.9,4.0,1.7,5.7,579.0,0.0,17.942857142857143,0.54739336492891,0.556390977443609,0.39130434780907375,0.6434426229481827,10.114285714285714,1.0857142857142856,0.8,3.5714285714285716
32,2011,2,49,Josh Selby,Kansas,26.0,530.0,72.0,193.0,38.0,99.0,34.0,94.0,28.0,37.0,10.0,48.0,58.0,56.0,21.0,1.0,53.0,44.0,206.0,11.9,0.9,1.9,2.8,0.489,0.461,2.4,9.7,6.3,17.8,2.3,0.2,20.1,24.4,95.5,96.5,0.4,0.9,1.3,205.0,0.0,7.923076923076923,0.37305699481865284,0.3838383838383838,0.36170212765572657,0.7567567567363039,2.230769230769231,2.1538461538461537,0.8076923076923077,0.038461538461538464
33,2011,2,50,Lavoy Allen,Temple,33.0,1120.0,154.0,321.0,149.0,304.0,5.0,17.0,69.0,99.0,88.0,195.0,283.0,75.0,23.0,61.0,54.0,75.0,382.0,20.3,1.2,5.3,6.6,0.519,0.488,9.3,20.2,14.8,13.6,1.3,5.4,12.8,19.8,110.0,93.1,2.2,2.4,4.6,397.0,0.0,11.575757575757576,0.4797507788161994,0.4901315789473684,0.2941176470415225,0.6969696969626569,8.575757575757576,2.272727272727273,0.696969696969697,1.8484848484848484
34,2011,2,51,Jon Diebler,Ohio State,37.0,1320.0,145.0,286.0,31.0,59.0,114.0,227.0,64.0,79.0,14.0,84.0,98.0,88.0,36.0,5.0,35.0,37.0,468.0,19.6,9.8,2.7,12.6,0.723,0.706,1.3,7.9,4.6,11.6,1.7,0.4,9.8,14.4,144.7,98.4,4.7,2.1,6.8,408.0,0.0,12.64864864864865,0.506993006993007,0.5254237288135594,0.5022026431695938,0.8101265822682262,2.6486486486486487,2.3783783783783785,0.972972972972973,0.13513513513513514
35,2011,2,52,Vernon Macklin,Florida,37.0,905.0,191.0,322.0,191.0,322.0,0.0,0.0,46.0,102.0,82.0,117.0,199.0,30.0,13.0,26.0,63.0,91.0,428.0,22.2,2.8,2.1,4.9,0.578,0.593,10.9,15.0,13.0,7.7,0.9,3.1,14.5,25.1,110.0,98.5,2.2,1.4,3.6,382.0,0.0,11.567567567567568,0.593167701863354,0.593167701863354,0.0,0.45098039215244135,5.378378378378378,0.8108108108108109,0.35135135135135137,0.7027027027027027
36,2011,2,53,DeAndre Liggins,Kentucky,38.0,1201.0,112.0,264.0,76.0,172.0,36.0,92.0,68.0,105.0,22.0,131.0,153.0,96.0,46.0,28.0,55.0,94.0,328.0,14.5,2.9,4.3,7.2,0.523,0.4920000000000001,2.2,11.8,7.2,14.2,2.3,2.3,14.9,15.8,109.1,97.0,1.8,2.1,3.9,338.0,0.0,8.631578947368421,0.42424242424242425,0.4418604651162791,0.39130434782183365,0.6476190476128798,4.026315789473684,2.526315789473684,1.2105263157894737,0.7368421052631579
37,2011,2,55,E'Twaun Moore,Purdue,34.0,1152.0,221.0,494.0,151.0,319.0,70.0,175.0,100.0,141.0,51.0,124.0,175.0,108.0,41.0,18.0,61.0,71.0,612.0,23.9,7.1,3.4,10.5,0.545,0.518,5.1,12.5,8.8,20.9,2.2,1.6,9.8,28.0,114.4,94.9,3.7,2.2,5.9,573.0,0.0,18.0,0.4473684210526316,0.47335423197492166,0.3999999999977143,0.7092198581509985,5.147058823529412,3.176470588235294,1.2058823529411764,0.5294117647058824
38,2011,2,60,Isaiah Thomas,Washington,35.0,1115.0,188.0,422.0,128.0,250.0,60.0,172.0,151.0,210.0,26.0,97.0,123.0,213.0,47.0,2.0,104.0,75.0,587.0,22.9,7.2,1.2,8.4,0.563,0.517,2.5,9.5,6.0,32.7,2.3,0.2,16.6,26.2,117.4,100.8,4.0,1.5,5.5,625.0,0.0,16.771428571428572,0.44549763033175355,0.512,0.3488372093002975,0.719047619044195,3.5142857142857142,6.085714285714285,1.3428571428571427,0.05714285714285714
39,2012,1,1,Anthony Davis,Kentucky,40.0,1281.0,210.0,337.0,207.0,317.0,3.0,20.0,144.0,203.0,119.0,296.0,415.0,50.0,54.0,186.0,41.0,78.0,567.0,35.1,7.8,10.8,18.7,0.654,0.628,11.6,25.6,19.0,7.5,2.5,13.7,8.6,18.8,139.0,80.7,5.9,4.1,9.9,550.0,1.0,14.175,0.6231454005934718,0.6529968454258676,0.1499999999925,0.7093596059078358,10.375,1.25,1.35,4.65
